goodsNo,error_type,message,time
230148,review,invalid literal for int() with base 10: '',2026-05-07 09:39:04
230148,review,invalid literal for int() with base 10: '',2026-05-07 21:02:15
230148,review,invalid literal for int() with base 10: '',2026-05-10 20:35:49
230148,review,invalid literal for int() with base 10: '',2026-05-17 20:41:59
230148,review,invalid literal for int() with base 10: '',2026-05-24 20:51:25
230148,review,invalid literal for int() with base 10: '',2026-05-31 20:51:54
230148,review,invalid literal for int() with base 10: '',2026-06-07 20:57:17
230148,review,invalid literal for int() with base 10: '',2026-06-14 20:58:28
230148,review,invalid literal for int() with base 10: '',2026-06-21 21:05:05
230148,review,invalid literal for int() with base 10: '',2026-07-05 20:55:18
230148,review,invalid literal for int() with base 10: '',2026-07-12 20:38:27
