goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
5911789,85257760,style,녹음참치,이쁜 베이지색 버지 찾다가 산 바지인데 괜찮은거 같아요 무난무난 이쁜바지,4.0,False,BEIGE · L,180.0,82.0,남성,2026-08-21 23:48:47,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,L,BEIGE,2026,8,21,금,4,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,이쁜 베이지색 버지 찾다가 산 바지인데 괜찮은거 같아요 무난무난 이쁜바지,이쁜베이지색버지찾다가산바지인데괜찮은거같아요무난무난이쁜바지,0,0,0,0,0,False,40,31,40,True,녹음참치,"('L', 'BEIGE')",0,False,1,keep,unique,True,85257760
3455892,85934228,style,우ㅊㅈ,초여름에 입어도 좋을 두께입니다. 밑단 스트링도 있어서 좋네요!,5.0,False,M,168.0,72.0,남성,2026-08-22 23:07:43,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 얇음,True,0,filluminate,아우터,M,,2026,8,22,토,5,응답,정사이즈,화면과 비슷,보통,,얇음,,,3.0,,,2.0,,0.0,0.0,0.0,0.0,초여름에 입어도 좋을 두께입니다. 밑단 스트링도 있어서 좋네요!,초여름에입어도좋을두께입니다밑단스트링도있어서좋네요,0,0,1,0,0,False,35,26,35,True,우ㅊㅈ,"('M', None)",0,False,1,keep,unique,True,85934228
6493132,86625449,style,흐엥?,사이즈 잘 맞고요 옷 핏도 좋은거 같아요 가성비 최고인거 같아요,5.0,False,MELANGE GREY · S,161.0,57.0,남성,2026-08-24 18:42:47,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,S,MELANGE GREY,2026,8,24,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,사이즈 잘 맞고요 옷 핏도 좋은거 같아요 가성비 최고인거 같아요,사이즈잘맞고요옷핏도좋은거같아요가성비최고인거같아요,0,0,0,0,0,False,35,26,35,True,흐엥?,"('S', 'MELANGE GREY')",0,False,2,keep,multi_option_unique,True,86625449
6493132,86625495,style,흐엥?,사이즈 잘맞고 핏도 좋고 핳인도 해서 가성비 최고,5.0,False,BLACK · S,161.0,57.0,남성,2026-08-24 18:42:13,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,S,BLACK,2026,8,24,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,사이즈 잘맞고 핏도 좋고 핳인도 해서 가성비 최고,사이즈잘맞고핏도좋고핳인도해서가성비최고,0,0,0,0,0,False,27,20,27,True,흐엥?,"('S', 'BLACK')",0,False,2,keep,multi_option_unique,True,86625495
3455892,87008857,style,쌈박한벨기에포멀,너무 얇지도 두껍지도 않은 두께감이 만족스러운데 디자인은 블랙에 포인트로 그레이가 살짝 더해져 더욱 맘에 들어요 !! 모자 사이즈도 적당해서 좋았습니다~,5.0,False,M,162.0,57.0,여성,2026-08-21 11:51:28,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 두께감: 적당함,True,0,filluminate,아우터,M,,2026,8,21,금,5,응답,정사이즈,화면과 비슷,좋음,,적당함,,,4.0,,,3.0,,0.0,0.0,0.0,0.0,너무 얇지도 두껍지도 않은 두께감이 만족스러운데 디자인은 블랙에 포인트로 그레이가 살짝 더해져 더욱 맘에 들어요 !! 모자 사이즈도 적당해서 좋았습니다~,너무얇지도두껍지도않은두께감이만족스러운데디자인은블랙에포인트로그레이가살짝더해져더욱맘에들어요모자사이즈도적당해서좋았습니다,0,0,2,0,0,False,85,63,85,True,쌈박한벨기에포멀,"('M', None)",0,False,1,keep,unique,True,87008857
6219053,87051444,general,깨끗한텍사스라펠,저렴한 가격 디자인도 화려하면서 매우 만족스러운 제품에이여!,5.0,False,LARGE,175.0,70.0,남성,2026-08-22 10:03:30,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,travel,상의,LARGE,,2026,8,22,토,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,저렴한 가격 디자인도 화려하면서 매우 만족스러운 제품에이여!,저렴한가격디자인도화려하면서매우만족스러운제품에이여,0,0,1,0,0,False,33,26,33,True,깨끗한텍사스라펠,"('LARGE', None)",0,False,1,keep,unique,True,87051444
﻿6140888,87069962,style,선한리버풀셋업,일단 디자인이 이쁘고 소재가 생각보다 좋아요 매우 만족합니다!,5.0,False,S,165.0,53.0,여성,2026-08-22 11:19:32,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 구김: 거의 없음,True,0,filluminate,상의,S,,2026,8,22,토,5,응답,정사이즈,화면과 비슷,매우 좋음,거의 없음,,,,5.0,,,,4.0,0.0,0.0,0.0,0.0,일단 디자인이 이쁘고 소재가 생각보다 좋아요 매우 만족합니다!,일단디자인이이쁘고소재가생각보다좋아요매우만족합니다,0,0,1,0,0,False,34,26,34,True,선한리버풀셋업,"('S', None)",0,False,1,keep,unique,True,87069962
﻿5142169,87070519,style,여리힙,색상이 여름철에 입기에 청량하고 딱 좋아요!! 어디에도 잘 어울이고 지금은 흰색바지랑 코디를 했는데 생지바지랑도 잘 어울려요,5.0,False,스카이블루 · 2XL,187.0,105.0,남성,2026-08-22 11:57:50,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,jemut,상의,2XL,스카이블루,2026,8,22,토,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,색상이 여름철에 입기에 청량하고 딱 좋아요!! 어디에도 잘 어울이고 지금은 흰색바지랑 코디를 했는데 생지바지랑도 잘 어울려요,색상이여름철에입기에청량하고딱좋아요어디에도잘어울이고지금은흰색바지랑코디를했는데생지바지랑도잘어울려요,0,0,2,0,0,False,69,52,69,True,여리힙,"('2XL', '스카이블루')",0,False,2,keep,multi_type_unique,True,87070519
﻿1948517,87076759,general,맑은칠레티셔츠,바지가 넉넉하고 편해서 너무 좋아요. 핏도 예쁘고 다리가 길어 보이는 느낌이에요. 허리도 편하고 활동하기 좋아서 자주 입게 될 것 같아요. 원단도 생각보다 괜찮고 전체적으로 만족합니다!,5.0,False,차콜 · M,165.0,57.0,여성,2026-08-22 17:52:27,사이즈: 매우 작음 / 화면 대비 색감: 매우 밝음 / 퀄리티: 매우 나쁨 / 신축성: 전혀 없음,True,0,jemut,하의,M,차콜,2026,8,22,토,5,응답,매우 작음,매우 밝음,매우 나쁨,,,전혀 없음,,1.0,,1.0,,,-2.0,2.0,2.0,2.0,바지가 넉넉하고 편해서 너무 좋아요. 핏도 예쁘고 다리가 길어 보이는 느낌이에요. 허리도 편하고 활동하기 좋아서 자주 입게 될 것 같아요. 원단도 생각보다 괜찮고 전체적으로 만족합니다!,바지가넉넉하고편해서너무좋아요핏도예쁘고다리가길어보이는느낌이에요허리도편하고활동하기좋아서자주입게될것같아요원단도생각보다괜찮고전체적으로만족합니다,0,0,1,0,0,False,103,75,103,True,맑은칠레티셔츠,"('M', '차콜')",0,False,1,keep,unique,True,87076759
4756932,87080374,general,Nathalie02,편하고 좋아요 후기 사진에 나와 있는 색상들이 좀 차이가 있길래 걱정했는데 다행히 그 중간이었어요 근데 그림자가 지거나 찬 빛을 받으면 좀 관식이네 학교 체육복같은 팥색이 되는 것 같기도 해요,4.0,False,LARGE,165.0,63.0,여성,2026-08-22 21:01:23,사이즈: 조금 큼 / 화면 대비 색감: 어두움 / 퀄리티: 좋음 / 신축성: 강함,True,0,travel,하의,LARGE,,2026,8,22,토,4,응답,조금 큼,어두움,좋음,,,강함,,4.0,,4.0,,,1.0,1.0,-1.0,1.0,편하고 좋아요 후기 사진에 나와 있는 색상들이 좀 차이가 있길래 걱정했는데 다행히 그 중간이었어요 근데 그림자가 지거나 찬 빛을 받으면 좀 관식이네 학교 체육복같은 팥색이 되는 것 같기도 해요,편하고좋아요후기사진에나와있는색상들이좀차이가있길래걱정했는데다행히그중간이었어요근데그림자가지거나찬빛을받으면좀관식이네학교체육복같은팥색이되는것같기도해요,0,0,0,0,0,False,107,79,107,True,Nathalie02,"('LARGE', None)",0,False,1,keep,unique,True,87080374
