goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
994588,86951133,general,혼자니,사이즈 괜찮은데 생각보다 많이 두꺼워서 날이조금 풀리면 입어야할것같아요,5.0,False,L(린넨),183.0,77.0,남성,2026-08-16 12:18:35,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,False,0,filluminate,상의,L,(린넨),2026,8,16,일,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,사이즈 괜찮은데 생각보다 많이 두꺼워서 날이조금 풀리면 입어야할것같아요,사이즈괜찮은데생각보다많이두꺼워서날이조금풀리면입어야할것같아요,0,0,0,0,0,False,39,32,39,True,혼자니,"('L', '(린넨)')",0,False,2,drop,same_option_same_type_dup,False,﻿86951133
6708096,87014403,general,장마엔빨강슬림핏,레이어드 느낌에 기장도 짧아서 마음에 들어요 잘 입겠습니다 👍👍,5.0,False,CHARCOAL · S,168.0,60.0,남성,2026-08-19 20:09:12,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,S,CHARCOAL,2026,8,19,수,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,레이어드 느낌에 기장도 짧아서 마음에 들어요 잘 입겠습니다,레이어드느낌에기장도짧아서마음에들어요잘입겠습니다,0,0,0,0,2,False,35,25,32,True,장마엔빨강슬림핏,"('S', 'CHARCOAL')",0,False,2,drop,multi_option_dup,False,87014275
6322922,87019855,style,써니트,여름용으로 시원하게 입기 좋은거같아요 조금 후리한 느낌이에요,5.0,False,L,185.0,88.0,남성,2026-08-19 22:57:59,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,L,,2026,8,19,수,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,여름용으로 시원하게 입기 좋은거같아요 조금 후리한 느낌이에요,여름용으로시원하게입기좋은거같아요조금후리한느낌이에요,0,0,0,0,0,False,33,27,33,True,써니트,"('L', None)",0,False,2,drop,multi_type_dup,False,87019304
1899753,87019888,style,J》rry,요즘 광고 많이 뜨고 할인하길레 구매해봤는데 딱 할인 많이할 때 사기엔 괜찮은듯함,5.0,False,SMALL,163.0,61.0,남성,2026-08-19 22:58:58,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,travel,상의,SMALL,,2026,8,19,수,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,요즘 광고 많이 뜨고 할인하길레 구매해봤는데 딱 할인 많이할 때 사기엔 괜찮은듯함,요즘광고많이뜨고할인하길레구매해봤는데딱할인많이할때사기엔괜찮은듯함,0,0,0,0,0,False,45,34,45,True,J》rry,"('SMALL', None)",0,False,2,drop,multi_type_dup,False,87019875
1899755,87019911,style,J》rry,요즘 광고 많이 뜨고 할인하길레 구매해봤는데 딱 할인 많이할 때 사기엔 괜찮은듯함,5.0,False,SMALL,163.0,65.0,남성,2026-08-19 22:59:44,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,travel,상의,SMALL,,2026,8,19,수,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,요즘 광고 많이 뜨고 할인하길레 구매해봤는데 딱 할인 많이할 때 사기엔 괜찮은듯함,요즘광고많이뜨고할인하길레구매해봤는데딱할인많이할때사기엔괜찮은듯함,0,0,0,0,0,False,45,34,45,True,J》rry,"('SMALL', None)",0,False,2,drop,multi_type_dup,False,87019899
4969807,87059227,style,m3drive,비침이 조금 있긴 하지만 핏 재질 다 나쁘지 않아요,5.0,False,BEIGE · XL,183.0,77.0,남성,2026-08-21 18:18:58,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,XL,BEIGE,2026,8,21,금,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,비침이 조금 있긴 하지만 핏 재질 다 나쁘지 않아요,비침이조금있긴하지만핏재질다나쁘지않아요,0,0,0,0,0,False,28,20,28,True,m3drive,"('XL', 'BEIGE')",0,False,2,drop,multi_type_dup,False,87059200
3791988,87066337,style,돈까스덮밥,녹끼있는 청바지를 원했는데 워싱이랑 데미지가 적절하게 들어가서 좋아요. 생각보다 얇아요. 한겨울 빼고는 입기 괜찮을거 같아요.,5.0,False,M,180.0,60.0,남성,2026-08-22 01:03:41,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 거의 없음,True,0,filluminate,하의,M,,2026,8,22,토,5,응답,정사이즈,화면과 비슷,보통,,,거의 없음,,3.0,,2.0,,,0.0,0.0,0.0,0.0,녹끼있는 청바지를 원했는데 워싱이랑 데미지가 적절하게 들어가서 좋아요. 생각보다 얇아요. 한겨울 빼고는 입기 괜찮을거 같아요.,녹끼있는청바지를원했는데워싱이랑데미지가적절하게들어가서좋아요생각보다얇아요한겨울빼고는입기괜찮을거같아요,0,0,0,0,0,False,70,53,70,True,돈까스덮밥,"('M', None)",0,False,2,drop,multi_type_dup,False,87066327
4969807,87069186,general,펑키군,가격대비 편하고 마음에 듭니다. 생각보다는 린넨이 도톰하긴 한데 그래야 형태가 나오는 거 같아요,5.0,False,BEIGE · M,172.0,65.0,남성,2026-08-22 10:18:15,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,False,0,filluminate,하의,M,BEIGE,2026,8,22,토,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,가격대비 편하고 마음에 듭니다. 생각보다는 린넨이 도톰하긴 한데 그래야 형태가 나오는 거 같아요,가격대비편하고마음에듭니다생각보다는린넨이도톰하긴한데그래야형태가나오는거같아요,0,0,0,0,0,False,53,40,53,True,펑키군,"('M', 'BEIGE')",0,False,2,drop,multi_option_dup,False,87069183
4969807,87091677,general,냥냥펀취르,여름에 입기 좋은거 같아요 착용시 불편함 없고 신축성도 들어가있어서 활동하기 편해요 색상별로 한장씩 구매했어요 마음에 듭니다,5.0,False,INDIGO · XL,178.0,83.0,남성,2026-08-23 14:39:11,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 신축성: 적당함,False,0,filluminate,하의,XL,INDIGO,2026,8,23,일,5,응답,조금 큼,화면과 비슷,좋음,,,적당함,,4.0,,3.0,,,1.0,1.0,0.0,0.0,여름에 입기 좋은거 같아요 착용시 불편함 없고 신축성도 들어가있어서 활동하기 편해요 색상별로 한장씩 구매했어요 마음에 듭니다,여름에입기좋은거같아요착용시불편함없고신축성도들어가있어서활동하기편해요색상별로한장씩구매했어요마음에듭니다,0,0,0,0,0,False,69,54,69,True,냥냥펀취르,"('XL', 'INDIGO')",0,False,3,drop,multi_option_dup,False,87091669
4969807,87091685,general,냥냥펀취르,여름에 입기 좋은거 같아요 착용시 불편함 없고 신축성도 들어가있어서 활동하기 편해요 색상별로 한장씩 구매했어요 마음에 듭니다,5.0,False,BLACK · XL,178.0,83.0,남성,2026-08-23 14:39:31,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 좋음 / 신축성: 적당함,False,0,filluminate,하의,XL,BLACK,2026,8,23,일,5,응답,조금 큼,화면과 비슷,좋음,,,적당함,,4.0,,3.0,,,1.0,1.0,0.0,0.0,여름에 입기 좋은거 같아요 착용시 불편함 없고 신축성도 들어가있어서 활동하기 편해요 색상별로 한장씩 구매했어요 마음에 듭니다,여름에입기좋은거같아요착용시불편함없고신축성도들어가있어서활동하기편해요색상별로한장씩구매했어요마음에듭니다,0,0,0,0,0,False,69,54,69,True,냥냥펀취르,"('XL', 'BLACK')",0,False,3,drop,multi_option_dup,False,87091669
